天官冢宰第一	本或作冢宰上非餘卷放此
瘍醫折瘍	劉本作㪿同時設反
之祝	之樹反出注
劀	音刮徐工滑反
之齊	才細反
生創	初良反
踠	於阮反徐烏卧反
跌	待結反徐徒紇反劉徒没反
附著	徐豬畧反
刮去	羌吕反
黃堥	本又作蝥劉音武又音無徐音毋又音務沈武侯反
礜石	音豫
上著	直畧反
五氣	氣音榖出注
獸醫畜獸	許又反下同
爲其	于僞反
趨聚	本亦作驟同仕救反
食之	音似
酒正功沽	音古
大酋	將由反下同
秫稻	音述
必齊	戚才細反下皆同一讀此如字
麴糵	魚列反
湛	接廉反
饎	昌志反
自釀	女亮反
泛齊	芳劒反
盎	烏浪反
緹	音體
醪	魯刀反
猶翁	鳴動反下同一音於勇反
鄼白	即今之白醝酒也冝作醝作鄼假借也在何反
差清	初賣反
醳	音亦徐音昔
曰醫	於己反徐於計反注同
酏	以支反
泲者	子禮反下同
從殹	烏兮反徐烏例反本或作毉
省也	所景反
酨	胙再反
之粥	之六反劉音育
稀者	音希
淸􁍧	音糟下同沈子由反
與臆	本又作醷於紀反徐於力反
三貳	徐音二下同
爲尊	于僞反
唯嗛	苦簟反
衮	古本反
鷩	必列反徐劉方利反
毳	充芮反
希冕	本又作絺同張里反
醆	側産反
粢	才計反
醍	音體本亦作緹
以飲	於鴆反
度當	徒洛反
俟朝	直遥反
酒人比其	戚必履反又毗志反徐扶利反
親食	音嗣
侑	音又
漿人若糗	丘酉反又昌紹反
留閒	如字徐音澗
用柶	音四
凌人治鑑	胡暫反本或作監音同
如甀	直僞反與縋音同
盛冰	音成
爲二	于僞反
廣八尺長丈二尺深三尺	凡度長短曰長直亮反度淺深曰深尺鴆反度廣狹曰廣光曠反度髙下曰髙古倒反相承用此音或皆依字讀後放此
漆赤中	用朱漆其中
朝覿	直歷反
秋刷	所劣反
淸也	如字又才政反下同
籩人麷	芳弓反徐又芳勇反或郎第反
蕡	符文反徐蒲悶反
膴	火吳反
鱐	所求反
枲	思里反
䐑	戚章渉反又直輒反
楅	皮逼反本又作偪同
糗幹	音乾又作乾析幹同
穜	直龍反又音童
其腴	音臾
以啗	劉徒覽反徐徒暫反
乾䕩	音老徐力到反
榛	側巾反劉士隣反
少牢	詩詔反凡言少牢皆放此
不祼	古亂反
蔆	音陵
