冬官考工記第六	鄭云此篇司空之官也司空篇亡漢興購千金不得此前世識其事者記録以備大數爾
則春	讀爲蠢出允反作也出也
畫正	音征下皆同
三獲	如字下皆同或音胡化反
謂勞	力報反
使臣	色吏反
折俎	之設反
猶女	音汝下文并注同
毋或	音無
強飲	其丈反下同
詒女曽孫	羊之反又羊志反
遺也	唯季反
廬人	力吳反下同
戈柲	音祕
殳	音殊
酋矛	在由反
言遒	在由反或子由反沈慈有反
言罷	音皮
羸	劣皮反
句兵	劉俱具反沈音鉤下注同
無彈	徒旦反注同
刺兵	七賜反注同
無蜎	於全反又於兖反李又烏犬烏玄二反或巨兖反
兵椑	薄兮反注鼙同
兵摶	徒丸反
謂掉	徒弔反
悁邑	烏玄反
謂橈	乃敎反下同
蟲蜎	巨兖反
隋	他果反
圜	音圎
則校	古飽反李又侯巧反
傅人	音附下及注同
所操	七曹反
絞而	古飽反
爲矜	巨巾反下同
之被	皮義反注同
去一	起吕反下同
晉圍	如字又音箭
把中	音霸
鐏也	存悶反劉子閟反
所捷	初洽反
置而	如字李直吏反
灸諸	音救
尌也	音樹
猶柱	知主反下同
輓而	音挽
牆歰	所立反本又作澀又作同
反覆	芳服反注同
軒輖	音周
匠人置槷	魚列反注臬同
作弋	以職反下杙同劉杙音子則反
爲其難	于僞反
度兩	待洛反
朝夕	如字
經涂	音塗
綆三	方穎反
金轄	胡瞎反
猶郷	許亮反
兩夾	古洽反劉古協反
䆫	初江反一音怱
蜃灰	常軫反
堊牆	烏路反又烏洛反
之塾	音孰劉又音育
重屋	直龍反下及注同
放夏	方往反
複笮	音福下側白反
度九	劉直路反戚待洛反下及注同
禹卑	如字劉音婢
堂與	音餘
大扃	古熒反
七个	古賀反注及下同
闈門	音韋劉音暉
膷鼎	音香
浮思	並如字本或作罘罳同
髙一	古報反後放此
度長	待洛反下同
環涂	如字劉戸串反
作轘	戸關反
溝洫	況域反
之􁅮	古犬反
之隧	音遂本又作遂
併發	歩頂反
畎也	古犬反與􁅮同古今字也劉古善反
所佃	音田又音電
二仞	音刃
之澮	古外反
園廛	直連反
莇	音助
校數	音敎下色主反下此數者同
以別	彼列反
雨我	于付反
徹與	音餘
爲其	于僞反下爲其爲此同
蓺也	音藝
其率	音律又音類下同
通雍	於舅反
地阞	音勒
水屬	讀爲注之樹反
理孫	音遜注同
梢溝	劉音蕭注蛸一音色交反
螵蛸	婢遥反
奠水	音亭
磬折	之設反後放此
水漱	色救反前注同
爲廞	許金反
水淤	於據反
留著	直畧反
淫液	音亦
其閷	色界反劉又色例反注下同
去一	起吕反
里爲式	里讀爲巳音以出注
傅衆	音附
格格	音各
椓之	丁角反
橐橐	音託
葺屋	七入反劉音集又子入反
囷	丘貧反
窌	劉古孝反依字當爲窖作窌假借也
令甓	上音零下薄歷反爾雅云瓴甋謂之甓郭璞云今㼾甎
裓也	音階
竇其	音豆
相勝	音升
車人謂之宣	如字本或作寡亦作宣
脛也	戸定反
皓落	胡老反本或作顥音同劉作皓音灰
柯欘	古阿反
之欘	張玉反爾雅句欘謂之定郭云斫也
句欘	音劬又音俱
之定	丁甯反或音如字
上俛	音免
耒	力對反劉音誄或良水反
庛	依注音刺七賜反李又似斯反
顙疵	似斯反
縁其	如字沈恱戰反
相中	如字又丁仲反
應一步	應對之應
利推	如字李湯雷反
或作摶	徒丸反
謂牙	五嫁反李五家反下同本或作迓
大安	音泰又菟餓反下同
反輮	人九反劉音柔
仄輮	音側
則易	以豉反
耎者	人兖反
為泥	于偽反下同
綆寸	方穎反
牝服	步忍反又扶死反李扶緬反服依注音負詩音如字
輪箅	薄歷反
謂較	音角
鬲長	沈於革反劉音隔
厭牛	於甲反
弓人既聚	似主反具也
檍	於力反一音意劉又烏克反
檿桑	烏簟反
杻檍	女丑反
箕箙	音服
凡相	息亮反下同
鄉心	許亮反
則逺	于万反下逺於同
近根	附近之近
射逺	食亦反下同
菑	側冀反又側其反沈子冀反劉音厠
栗	音烈李又如字
不迆	羊氏反
不菑	側其反
畬	音餘
以鋸	音據
副析	普逼反下星歷反
倚移	於綺反下羊氏反下同
邪行	似嗟反
裂繻	音須
秋閷	戚色界反劉色例反下同
紾	劉徒展反許愼尚展反又徒展反與注抮縳之抮同角絞縳之意
而昔	七各反下同
抮縳	並與紾同縳又徒轉反
觕理	才若反又七奴反
錯然	七各反李云鄭且若反
瘠牛	在亦反
夫角	音扶下皆同
蹙於	子六反注同李又音促又且六反
􁍾	乃老反本又作腦
而休	音煦下同
爲煦	況付反劉音休下同
之畏	讀爲隈烏回反下同
故脃	七歳反
而摶	徒丸反
凡昵	女乙反又音職
作樴	音職
爲䵑	女乙反爾雅云膠也劉沈並音刃
䐈敗	音職吕忱云膏敗也
必剽	芳妙反戚芳昭反或扶召反後同
􁄕然	下板反或胡簡反
登陴	婢支反劉蒲佳反又房卑反
敝之敝	婢世反徐扶哲反
嚼之	才略反
惻隱	本或作㦩同
測度	徒洛反
液角	音亦下同
爲醳	音亦劉沈音釋下同
奠體	讀爲定下同
檠中	音景
析灂	子召反
復内	扶又反
則易	以豉反
滑致	直致反下言致同
則合	讀爲洽
被弦	皮寄反
無邪	似嗟反
必荼	音舒下同
由幨	昌廉反注同
重醳	直龍反
稱	尺證反下各稱同
其帤	女居反
則需	人兖反下注罷需同
襦有	劉音須沈音儒本亦作
衣絮	本亦作帤周易作袽皆女居反
中禆	符支反又音卑
䟽數	音朔
必侔	莫侯反或亡又反
繳不	音灼
由挫	子臥反
蹴折	子六反
之隈	烏回反
恒角	古鄧反又如字下同
不校	古卯反注及下同
爲裻	音督
縆	古鄧反或古登反沈又居肯反
爲搄	古鄧反
辟如	音譬下注變辟同或房赤反
終紲	息列反弓䪐也
䪐	音祕又補結反
爲發	于僞反
緄	古本反劉古魂反
縢	本又作徒登反
茭	司農玄歷反鄭户卯反
解	戸賣反注同
茭讀	音交下茭亦同
激發	古歷反
足掔	烏喚反
骹之骹	戸卯反
蕭臂	如字下文同本或作辟一音房赤反
於挺	勑頂反注同或徒令反
有柎	方輔反下同
爲湖	音胡
漂絮	匹妙反下相預反
引如	引依注音譬
重明	直用反
撟幹	居兆反劉枯老反沈古了反
無燂	音僭又音㝷或犬含反
䰞膠	章吕反
苟愉	吐侯反或吐豆反
其畏	烏回反
其敝	讀爲蔽必世反劉又博壻反
宛之	於阮反
巳應	應對之應注下皆同
不罷	音皮
柎卑	劉音婢
於閷	色界反劉色例反注下同
而羽	讀爲扈音戸
難易	以豉反下同
䟫之	直庚反或之亮反又詩尚反注同沈云或音堂非
辟戾	劉必亦反衆家皆匹亦反
不勝	音升下注同
有三	有讀爲又三讀爲參
被筋	皮寄反
擐之	戸串反劉郭犬反
三侔	本又作桙亦作桙同莫侯反侔等也
三鋝	色劣反又音劣
三邸	丁禮反或丁計反
三斞	羊主反
鍰也	音環又于卷反
合九	如字一音閤下同
豐肉	如字劉而樹反
忿埶	音勢
中且	丁仲反注及下同
作數	音朔
以愿	音願慤也一音元
慤也	苦角反
夾㬰	古洽反劉古恊反下音庾
利射侯	食亦反注下除繳射大射小射用射外皆同
獲	劉胡檗反
繳射	諸若反
木椹	張林反
捆復	苦本反
若背	補内反注同
角環	如字又戸串反
筋蕡	扶文反注同
厈	音尺
蠖	枉縛反又於郭反
枲實	絲子反
上再	時掌反
覆之	孚服反注下皆同
句弓	劉九具反沈音鉤
猶譱	音善本又作善下同
