月令第六	此是吕氏春秋十二紀之首後人刪合爲此記蔡伯喈王肅云周公所作
材葦	于鬼反
柔刄	而愼反
爲艾	于僞反下文爲民注爲求福爲其同
以共	音恭
黼	音甫
黻	音弗
差貸	音二又他得反
以別	彼列反
旗	音其
章識	申志反又如字
行木	下孟反
傜役	音遥
徑	音逕
辱暑	如字本或作溽音同濕也
燒薙	他計反芟草又直履反
芟草	所銜反
萊地	音來
夏日	人一反
畜於	勑六反
不復	扶又反
以糞	方問反
土疆	其丈反注同
易行	以豉反
強	其兩反
㯺	好覽反
鮮落	音仙又仙典反
風欬	苦代反
鷹隼	息允反
蚤鷙	上音早下音至亦作鷙擊也
走竄	七亂反
中央	於相反
蟲倮	力果反虎豹之屬淺毛者又乎瓦反
露見	賢遍反
中􁆤	力又反
複穴	方服反
五藏	才浪反
圜	于權反
以閎	音宏
之長	丁丈反
土畜	呼又反一金畜同
孟秋少暭	詩召反注下放此少暭金天氏黃帝之子
蓐收	音辱蓐收少暭之子曰該爲之
應涼	應對之應
狐貉	户各反依字作貈
生􁇁	之然反
則陂	彼義反
左樞	昌朱反
行戮	音六
寒蜩	大彫反
蜺也	五兮反寒螿
緫章	子孔反
白駱	音洛
黒鬣	音獵本亦作髦音毛又一本作旄尾也
先立秋	悉薦反
軍帥	所類反下同本或作師注放此
於朝	直遥反
招拒	音矩
諸將	子匠反下同
詰誅	去吉反
好惡	並如字又上呼報反下烏路反
繕囹	市戰反
罪邪	似嗟反
搏執	音博
察創	初良反注同
審斷決	丁亂反下同蔡徒管反一讀絶句決字下屬
贏	音盈注同
猶解	古賣反
完	胡官反
隄	本又作提丁兮反
防	本又作坊音房
謹壅	於勇反
畢好	呼報反
坏	歩回反
牆垣	音袁
大使	色吏反
介蟲	音界注同
稻蟹	胡買反
復還	扶又反下音環又音旋
多瘧	魚畧反
仲秋觜	子斯反又子髓反
觿	戸圭反又戸規反
盲風	亡庚反疾風
謂閩	音文依字作蟁又作蚊
蚋	人銳反又如恱反
其養	餘亮反下同
糜	亡皮反
粥	之六反字林羊六反
具飭	丑力反後放此
有量	音亮下度量同
朝宴	直遥反
此爲	于僞反下爲民同
必當	丁浪反下不當及注同
枉	紆往反
橈	女敎反又乃絞反字林作撓非
申重	直用反
循行	下孟反
芻	初俱反草也
豢	音患養也養牛羊曰芻犬豕曰豢以所食得名
瞻	音占
肥瘠	在亦反
皆中	丁仲反
乃難	力多反注同
竇	音豆
窖	古孝反
脩囷	丘倫反
隋曰	他果反謂狹而長
趣民	七住反本又作趨又七緑反
坏戸	音陪
務畜	丑六反
浸盛	子鴆反
始涸	戸名反竭也
角見	賢遍反下同
易關	以豉反注同
便	婢面反
匱	其位反注同
賈客	音古又古雅反
應陽	應對之應
有恐	丘勇反
復生	扶又反
數	所角反
季秋無射	音亦
喆	貞列反
來賔	髙誘注吕氏春秋則云賔雀與鄭異
爲蛤	古荅反
鞠	本又作菊九六反
豺	音柴
僇禽	音六本或作戮
申重	直用反
之簿	歩古反徐歩角反
之收	如字又守又反
之委	紆僞反
猥卒	温罪反下七忽反
習吹	昌睡反注同
爲將	于僞反下文縣爲注主爲又爲同
徧祭	音遍
合諸侯制	絶句
而縣	音玄
殳	音殊
矛	亡侯反
度	大各反
同乗	繩證反
校人	戸敎反
而頒	音班
騶	側求反
載	丁代反又如字注同
旐	音兆
以級	九立反
趣馬	七注反又七走反
駕說	始銳反
之陳	直覲反
大常	音泰
載旟	音餘
搢	如字又音箭
扑	普卜反
挾矢	子協反又音協
祀祊	鄭注周禮音方
爲炭	吐旦反
皆墐	其靳反
辟殺	音避
乃趣	音促又七住反
不當	丁浪反注同
供養	九用反下餘亮反注同
以去	起吕反
貪耆	市志反
熊	乎弓反
蹯	音煩
鼽	音求說文云病寒鼻窒
嚔	丁計反
邊竟	音境注及後同
隆	六中反
坼	丑白反
煖風	乃管反又許元反
氣解	古買反
惰	徒臥反
孟冬析木	思歷反
顓	音專
頊	許玉反顓頊髙陽氏
玄冥	亡丁反少昊之二子脩及熙爲玄冥玄冥水官
龜鼈	必滅反
財匱	其位反
應	應對之應注同
臭朽	許九反本亦作㱙字林云㱙腐也說文云㱙或爲朽字
辟除	必亦反又婢亦反
爲軷	歩曷反
壤	如丈反
厚二	戶豆反
廣五	古曠反
爲蜃	常忍反大蛤
