source,commentary
危行,下孟反
渉洹,音桓一音恒今土俗音袁
林慮,力於反
長樂,音洛下樂平縣同
瓊,求營反玉也
瑰,古回反珠也
含象,戸暗反本亦作唅
言之之莫,音暮
戒數,所角反
崔杼,直吕反
以難,乃旦反下及注同
盧降,下江反
反自鄢,一本又作自鄢陵
盡去,起吕反下文同
而嬖,必計反
魚矯,居表反
而梏,古毒反
械也,戸戒反
軍帥,所類反
居守,手又反
敵使,所吏反
君盍,戸臘反
嘗使,所吏反又如字
覘之,勑廉反
伺也,音司又絲嗣反
射而,食亦反
不偪,彼力反下同
易有,以䜴反
信知,音智下同
清沸,甫味反
魋,徒回反
結衽,而甚反徐而鴆反
坐處,昌慮反
一朝,如字
為軌,本又作宄音同
御姦,魚呂反下同
不施,如字或式豉反
違去,起呂反下同
厥少,詩照反
焉用,於䖍反
道呉,音導下及注同
伐駕,如字一音加
釐,力之反
虺,許鬼反
橐師,他洛反
經十八年復入,扶又反
鹿囿,音又
遣輕,遣政反
士魴,音房
于虛,起居反
朾,他丁反
傳十八年一乗,繩證反注同
其少,詩照反
菽麥,音叔
易別,以豉反下彼列反
癡者,勑疑反
齊為,于偽反
之難,乃旦反
王湫,子小反徐子鳥反
奔萊,音來
殺絶,音試
施舎,如字一音始豉反
止逋,布呉反
逮鰥,古頑反
淫慝,他得反
賦斂,力驗反
宥,音又
罪戾,力制反
節省,所景反下同
不從,子用反本亦作縱
魏相,息亮反
魏頡,戸結反
魏顆,苦果反
孝弟,音悌本或作悌
渥濁,於角反
右行,戸郎反
士蔿,于委反
辛將,子匠反下軍將同
弁,皮彦反本又作下同
糾,居􁇠反
校正,戸孝反注同
共時,音恭本亦作供下文同
省卿,所景反
令軍,力呈反
鐸,待洛反
遏,於葛反徐音謁
訓卒,子忽反
乗,繩證反下及注皆同
六騶,側留反
之長,丁文反
軍帥,所類反下之帥爲帥皆同
以復,扶又反下及注復入皆同
以上,時掌反
取朝,如字
郟,古洽反
城郜,古報反
三百乗,繩證反
惡其,烏路反
曰復歸,音服一音扶又反
以惡曰復入,本或作以惡入曰復入
西鉏,仕居反徐在居反
吾,音魚西鉏吾人名也
無猒,於鹽反
猶憾,戸暗反
以閒,如字又閒厠之閒
吾釁,許靳反
而披,普彼反注同分也
崇長,丁文反
患難,乃旦反
勞公,力報反
語之,魚據反注同
來見,賢遍反
台谷,勑才反一音臺
彘季,直例反
世適,丁歴反
