source,commentary
凡畜,勑六反注同
葵芋,于附反
稍聚,俗𥙿反下文同
藩蘿,音羅本亦作羅
土均之政,音征出注
爲之,于僞反
豐省,所景反
草人相其,息亮反
之種,章勇反注除種禾以外並同
汜勝,芳劒反李又音凡
凡,粉運反本亦作糞
赤緹,音低李他奚反聶吐弟反
墳壤,符粉反
用麋,音眉
渴澤,其列反
鹹潟,音昔一音鵲
用貆,呼丸反又音丸李一音喜元反
埴,時力反一音職
壚,音盧李一音閭
疆,其兩反注同
㯺,本又作呼覽反劉音檻
用蕡,扶云反一音蒲悶反
輕􁒖,孚照反李音婦堯反
縓色,七絹反
潟鹵,音魯
貒也,他官反
粉解,胡買反下同
作蚠,符粉反
稻人畜水,勑六反注同
蕩水,如字李吐黨反
以列,禄計反注同
以澮,古外反
寫水,戚如字劉殤故反
其芟,所銜反
町原,徒頂反
以去,起吕反下同
之畦,劉音圭又下圭反
㽟也,音劣
荑之,音夷
蕰崇,紆粉反或憂羣反
水涸,胡洛反
芒種,章勇反注芒種同
旱暵,呼旦反
雩斂,戚力驗反注同
以闉,音因
土訓冝麻,如字一本作糜李及聶氏亡皮反劉沈皆作麇音紀倫反案注辨土所冝荆揚皆言榖幽并不應倫獸紀倫之音恐非
地慝,他得反
別其,彼列反
虺,虛鬼反
蝮,孚目反
行視,下孟反
誦訓辟忌,音避注同
所惡,烏路反
山虞爲守者,于僞反下爲久同
堅濡,戚如兖反又音柔
柔忍,音刃
掄材,魯門反又音倫
不拘,音俱本亦作佝音同
場壇,徒丹反或音禪
植虞,時力反又音值
而珥,如志反又音耳
林衡林㯟,音鹿
部分,扶問反下同
蕃茂,扶袁反
川衡川奠,音電下同
魚鱐,所留反
蜃,上忍反
蛤,古荅反
澤虞以當,丁浪反後文皆同
自爲,于僞反下注同
芹,音勤
茆,音卯
蔆,音陵
芡,音儉
迹人麛,音迷
卵,力管反
卝人,革猛反又虢猛反劉侯猛反沈工猛反
錫石,星歷反
鈏也,以忍反劉常忍反
啖,直覽反本亦作淡
角人漆浣,戸翫反
以度度,上如字下待洛反
羽人羽翮,户革反
爲摶,除轉反注同劉徒端反
爲縳,劉古本反沈除轉反
之箴,之林反
之緷,古本反劉音渾一音戸本反李又基遠反
相近,附近之近
掌葛䔛紵,苦逈反
可緝,七入反
掌染草茅,如字劉音妹
蒐,所留反茅蒐蒨也
橐,音託又音妒
紫茢,音列劉閭計反或音例
染夏,如琰反
掌荼畜聚,勑六反
茅莠,音秀劉音酉
掌蜃互物,戸故反
蚌蛤,蒲項反
御濕,魚吕反本亦作禦
以白器,如字劉薄霸反
囿人苑觀,古亂反
燕樂,音洛
鳧鶴,戸各反又作鸛古亂反
場人枇,蒲梨反或房迷反
杷,白加反
享亦,許丈反劉凡享皆音向後放此
廪人匪頒,上音分亦如字下音班
稍食,音嗣注同
好用,呼報反
上下,時掌反司稼職同
數邦,色主反注同
殺邦,所界反下注同殺減也
糒也,音備
則接,依注音扱
一扱,初洽反劉初輙反又差及反李聶創渉反
舎人簠,音甫或音蒲李又方于反
筥米,姜吕反又音吕
飯米,扶晚反注同
熬榖,五羔反
錯于,七故反
蚍,鼻夷反
蜉,音孚
四種,章勇反下同
縣,音玄注下同
穜稑,直龍反下音六司稼職同
見内,賢遍反
司稼之種,章勇反注知種同
猶徧,音遍下同
出斂,力驗反注同
度平,徒洛反
舂人其齍,音資注同本亦作粢
饗食,音嗣注燕與食及􁆊人職同
􁆊人,昌志反
致飧,音孫
槁人,苦報反
内朝,直遥反注同
穴食,如勇反
之食,音嗣
斷獄,丁亂反
弊訟,必世反
丞相,息亮反
者與,音餘
尚書,音常又時掌反
直上,時掌反
掌豢,音患
其潘,芳袁反本或作蕃音同
灡,魯旦反
戔餘,音淺本亦作殘
可䙝,息列反
