哀上	哀公名蔣定公之子蓋夫人定姒所生敬王二十八年即位謚法恭仁短折曰哀
析朱鉏	星歷反注及下同
泗上	音四
私屬	音燭
於幕庭	亡博反
設格	更百反
令士	力呈反
試躍	羊灼反
與焉	音預注同
任行	音壬
三遷	息暫反
析骸	戸皆反本又作骨
而爨	七亂反
及虧	去危反
吳輕	遣政反
負載	如字謂載書或音戴
造於	七報反
萊門	音來
爲質	音致下同
復求	扶又反
妻之	七計反
魴侯	音房
前爲	于僞反
荐之	本又作栫在薦反
荐雍也	於勇反
使女	音汝
千乗	繩證反注及下同
故諷	方鳳反
愬之	音素
於潞	音路
麇之	丘隕反束縛也
經九年雍丘	於勇反
傳九年公孟綽	昌灼反本又作卓同
武子䞉	以證反
作壘	力軌反
塹成	七豔反
郟張	古洽反又音甲
城邗	音寒
射陽	食亦反又音亦
可游	音由
可馮	皮冰反
之需	音須
以祉	音恥
儆	音景
經十年不與	音預
書殺	申志反
孟彄	苦侯反
傳十年剡子	音談
于鄎	音息
兵并	必政反
人殺	申志反
襲重	直龍反又直用反
取犂	力兮反又力之反
及轅	音袁一音于眷反
名隰	音習本或作濕音同
來復	扶又反
壽夢	音蒙
少子	詩照反
經十一年轅頗	破可反又普多反
艾陵	五蓋反
公與伐	音預下同
傳十一年齊爲	于僞反
無丕	普悲反
一子守	手又反
從公	如字又才用反
御諸	魚吕反本又作禦
竟	音境注同
自度	待洛反
封疆	居良反注同
二子之不欲戰也冝	絶句
黨氏	音掌
強問	其丈反
而共	音恭
不成丈夫也	本或作大夫非
蒐乗	所求反下繩證反
閱	音恱
孟孺子	而住反
彘	直利反
邴洩	音丙又彼命反
管周父	音甫
年少	詩照反
徒卒	子忽反注同
雩門	音于
繇役	本或作徭同音遥
陳瓘	古喚反
渉泗	音四
爲殿	丁練反
抽矢	勑留反
䇿其	初革反本或作筴
誰不如	如字一音而庶反注同
惡賢	音烏注同
宵諜	音牒
齊人遁	徒困反
諜閒	閒廁之閒
語人	魚據反
能黙	本亦作嘿亡北反
其嬖	必計反
童	本亦作僮音同
汪	烏黃反
錡	魚綺反
乗	繩證反
無殤	音商八歳至十九爲殤
用矛	亡侯反
皆陳	直覲反
轅咺	況阮反
稻醴	音禮以稻米爲醴酒
粱糗	起九反糗乾飯也以粱米爲之一音昌紹反
腶脯	丁亂反字亦作鍜加薑桂曰脯也
爲郊	于僞反
于嬴	音盈
公孫夏	户雅反
虞殯	必刃反
陳子行	如字又戸郎反
具含玉	户暗反本又作唅
公孫揮	許韋反
問遺	唯季反
王卒	子忽反
八百乗	繩證反
兵從	才用反又如字
勞公	力報反
甲劒鈹	普悲反
寘之	之豉反
新篋	苦協反
褽以	音尉薦也一本作褽之以玄纁
玄纁	許云反本亦作勲
加組	音祖
不衷	音忠善也
饋賂	其位反或作餽下音路
是豢	音患養也
也夫	音扶
爲沼	之兆反
其泯	亡軫反
盤庚	歩干反
之誥	古報反
不共	音恭注同
則劓	魚器反
殄	大典反
無俾	必爾反
易種	章勇反注同
從橫	子容反
育長	丁丈反
使於	所吏反
屬其	音燭注及下同
屬鏤	力俱反又力侯反屬鏤劒名
墓檟	古雅反木名
脩守	手又反
子朝	如字
妻之	七計反
於犂	力兮反
孔姞	其乙反又其吉反
向魋	徒回反
於鄖	音云
少禘	詩照反下大計反
子憖	魚覲反一作整征領反
而飲	於鴆反
遂聘	匹政反
夏戊	戸雅反下同戊音茂
胡簋	音軌
遽止	其據反
度其	待洛反注及下同
之難	乃旦反
別其田	如字一音彼列反
施取	尸豉反
斂從	力豔反
貪冒	亡北反一音莫報反
無厭	於鹽反
經十二年諱取	七喻反又如字本或作娶
槖皐	章夜反或一音託
逡	音峻又七倫反
遒	音囚又音巡
繇	音遥
螽	音終
傳十二年取于	七喻反本亦作娶
與弔	音預注同
不絻	音問
放絰	大結反
故去	起吕反
奉贄	音至
以要	一遥反注同
尋重	直龍反
寒歇	許謁反
且姚	子餘反
之斃	婢世反
不摽	敷蕭反又普交反擊也
國狗	音茍
之瘈	吉世反狂也
噬也	市制反
齧	五結反本或作嚙
藩衞	方元反注及下同
籬也	力知反
歸餼	許氣反
以難	乃旦反注同
子盍	户臘反
不爲	于僞反
是墮	許規反注及下皆同
嚭說	音恱下同
乃舎	音捨釋也又音赦
效夷	戸敎反
蟄者	直立反
隙地	去逆反
閒田	音閑一本作閒地一音如字
彌作	亡支反又亡爾反
頃丘	苦潁反又音傾
玉暢	勑亮反一本作士暢
嵒	五咸反
戈	古禾反
錫	音羊一音星歷反
爲之	于僞反
今倒	丁老反
爲別	如字又彼列反
經十三年男成	音城本或作成
近濟	附近之近
自去	起吕反
其僭	子念反
星孛	歩内反
乃見	賢遍反
陳夏	戶雅反
區夫	烏侯反
故復	扶又反
傳十三年使徇	似俊反
成讙	火官反
郜延	古報反或古毒反
為虛	並如字或音墟非
單平公	音善
不與	音預
二隧	音遂注同道也
謳陽	烏侯反
自泓	烏宏反
姑蔑	亡結反
之旗	音其
大末	音㤗孟康云大音闥
屬徒	音燭注同
地守	手又反下注同
復戰	扶又反
王惡	烏路反注同
自剄	古頂反
爭歃	所洽反又所甲反
為長	丁丈反注下同
大伯	音泰
日旰	古旦反
徳輕	遣政反
見晉侯	如字又賢遍反
對使	所吏反
以見	賢遍反
於吳有豐	芳中反
八百乘	繩證反下及注同
六人從	才用反
户牖	音酉
坐為	才臥反
恐之	丘勇反
不共	音恭
而祇	音支
繠兮	而捶反又而水反
一盛	音成又市政反注同
與褐	戶葛反
之父	如字又音甫
睨之	五計反視也
麤則	本或作麄七奴反
以呼	火故反
殺其丈夫	直兩反本或作大夫誤
悖惑	補内反
