成上	成公名黒肱宣公子諡法安民立政曰成
其行	下孟反注同
過差	初賣反又初佳反
猶喪	息浪反
妃耦	音配下五口反
長有諸侯	如字一音丁丈反
申驪	力馳反
沈子揖	徐音集又於立反
平輿	音餘一音預
愷	開在反樂也
悌	徒禮反易也
也夫	音扶
過許	古禾反
自爲	于僞反下文爲趙嬰同
共姬	音恭
祁奚	巨之反字林上尸反
趙衰	初危反
趙盾	徒本反
皆數	所主反
無僻	匹亦反注及下同
前喆	陟列反
有邪	似嗟反
敢侮	亡甫反
鰥寡	古頑反
蘧里	其居反
城巳惡	如字巳猶太也本或作城巳惡矣
虞度	待洛反
狡焉	交卯反
狡猾	于八反
封疆	居良反注同
唯然	音維本或作雖後人改也
暴掠	音亮
勇夫重	直龍反又直勇反
閉	補計反又補結反一音戸旦反
不復	扶又反
君後諸侯	如字徐胡豆反
經九年之好	呼報反
頃公	音傾
傳九年魯復	扶又反下同
強請	其丈反
爲𣏌	于僞反下注爲魯下文爲歸汶陽同
逆叔姬	絶句
我也	本或作爲我也爲衍字
以御	魚吕反
以要	一遥反
蹶父	九衞反
爲女	于僞反
相所	息亮反
韓樂	音洛下同
施及	以豉反
重勤	直勇反又直用反
緑衣	如字本又作禒吐亂反注同
邶風	音佩又作鄁
銅鞮	丁兮反
伯蠲	古玄反又音圭
使在	所吏反
而縶	中立反
拘執	九于反
使稅	吐活反解也徐始銳反注同
泠人	力丁反樂官也依字作伶
操南音	七刀反下同
公語	魚據反
不背	音佩下同
舎其	音捨
少小	詩照反
君盍	戸臘反
浹辰	子協反徐又音子荅反
也夫	音扶
菅	古顔反
蒯	苦怪反
蕉	在遥反
萃	在醉反
代匱	其位反
爲將	並如字或于僞反非也本或作僞將也
而紓	音舒
晉使	所吏反注及下同
勿亟	紀力反急也或欺異反數也
脩好	呼報反
經十年見生代	賢遍反
獳卒	乃侯反
傳十年糴	徐徒弔反一音杜敖反又士弔反
茷	徐扶廢反一音蒲發反又蒲艾反
大宰	音泰
之使	所吏反下及注使在同
公子繻	音須
立髠	苦門反
頑	如字徐五班反
州蒲	本或作州滿
爲質	音致
卷縣	音權字林立權反如淳漢書音同
被髮	皮寄反
搏膺	音博
而踊	音勇
壞大門	音怪下同
及寢門	一本無及字
公覺	古孝反
求醫	於其反
懼傷我	絶句
焉	徐於䖍反一讀如字屬上句
逃之	絶句
居肓	徐音荒鬲也說文云心下鬲上也
肓鬲	音革
攻之	音工
達之不及	達鍼也
鍼也	音針
甸人	徒練反
饋人	其媿反
爲之	如字
張	中亮反腹滿也注同
