source,commentary
見,賢遍反
小曰,音越
遺,唯季反
介,音界
好,呼報反
徑,經定反邪徑
復,扶又反
朝,直遥反
絜好,如字
蕪,音無
厭,於艷反
夸,口花反
盜夸非道也哉,河上本同
不拔,皮八反顧云私
齊,才細反
不輟,張劣反
孫傳,直專反
比,必履反
蜂,芳逢反
蠆,勑賣反
虺,虚鬼反
蛇,食奢反
螫,失亦反又呼各反河上云毒蟲不螫
攫,俱縛反
不搏,音博
筋柔,居勤反者俗
而握,於學反
知牝,頻忍反
牡,牟后反
之合而全作,全如字河上作䘒子和反本一作朘說文子和反又子壘反云赤子隂也字垂反
終日號,户毛反
不嗄,一邁反氣逆也又於介反而聲不嗄當作噫
則夭,於驕反又於表反
強,其良反
壯,側諒反
挫,子臥反
銳,恱歳反
令,力征反
去,羌吕反
不劌,居衞反河上作害傷也
汚,音烏
僻,匹亦反
激,經覔反又古堯反
拂,芳佛反
不嬥,以照反
匿,女力反
莫如嗇,生力反河上云貪也
去,羌吕反
早復,音服
謂之重,直容反
柢,丁計反亦作菷
烹,普庚反不當加火
小鮮,音仙
以道莅,力至反■無此字說文作䇐
治,直吏反
牝,頻忍反
靜復,扶又反
以下,遐嫁反
則取,七榆反又七喻反
卑下,遐嫁反
過,古禾反又古臥反
奥,於六反暖也河上烏報反
曖,音愛暄也說文作懓
庇,必寐反本祕反
䕃,於鴆反
尊行,下孟反
有拱,居勇反
璧,幷歷反
以先,悉薦反
所以爲,于僞反
不曰,于月反
淡,徒暫反
於其易,以豉反
必多難,乃旦反
其脆,七歳反河上本作膬昌睿反
易泮,普半反
於累,劣被反
者敗,必賣反
施,始志反
辟,匹亦反
好,呼報反
令,力征反
復以,扶又反
稽式,古兮反嚴河上作楷式
善下言下,遐嫁反
厭,於艷反
夫,音扶
唯大,絶句
以陳,直忍反
費,芳味反
匱,其貴反
器長,張丈反
舎,音捨
而不辟,音避
於難,乃旦反
卒,尊忽反
帥,所類反
爲,于僞反
無行,戸剛反
攘,若羊反
扔,音仍
幾,音祈音機
易,以豉反
被,音備
褐,戸葛反
無狎,戸甲反
無厭,於艷反
離,力智反
物擾,而小反
辟,匹亦反
不能復,扶又反
潰,戸對反
見,賢遍反
故去,羌吕反
之所惡,烏路反
猶難,乃旦反
繟,音闡
坦,吐但反梁王尚鍾㑹孫登張嗣本有此坦平大貌河上作墠墠寛也坦尺善反又上單反也
而見,賢遍反
凶先,悉薦反
恢,苦回反
是大匠斲,陟角反
治,直吏反
僻,匹亦反
強,其兩反舊其良反
柔脆,七歳反
枯槁,苦老反
與,音餘
抑,於力反
之量,音亮
身去,羌吕反
天下莫柔弱於水,河上本作天下柔弱莫過於水
垢,古口反
和大怨,紆万反
契,苦計反
不令,力征反
伯,絶句河上本
不貪貨賂,音路
輿,音餘河上曰車
使人復,音服又扶又反
樂,音洛
人巳,基倚反
愈,音與
而不爭,爭鬪注同
